analysis_unit_id,acquisition_id,animal_id,condition,region,region_present,endpoint,endpoint_label,value,analysis_unit
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ARC,True,total_cfos_over_dapi,total c-FOS+ / DAPI,0.011936339522546418,acquisition
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ARC,True,total_acth_clip_over_dapi,total ACTH/CLIP+ / DAPI,0.033156498673740056,acquisition
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ARC,True,double_over_dapi,c-FOS+ ACTH/CLIP+ / DAPI,0.006631299734748011,acquisition
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ARC,True,double_per_100k_um2,"c-FOS+ ACTH/CLIP+ / 100,000 µm²",1.619805057505238,acquisition
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ARC,True,n_double,c-FOS+ ACTH/CLIP+ nuclei,5.0,acquisition
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ME,True,double_over_total_acth_clip,c-FOS+ ACTH/CLIP+ / total ACTH/CLIP,0.14285714285714285,acquisition
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ME,True,total_cfos_over_dapi,total c-FOS+ / DAPI,0.005025125628140704,acquisition
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ME,True,total_acth_clip_over_dapi,total ACTH/CLIP+ / DAPI,0.017587939698492462,acquisition
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ME,True,double_over_dapi,c-FOS+ ACTH/CLIP+ / DAPI,0.002512562814070352,acquisition
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ME,True,double_per_100k_um2,"c-FOS+ ACTH/CLIP+ / 100,000 µm²",0.8099381249839015,acquisition
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ME,True,n_double,c-FOS+ ACTH/CLIP+ nuclei,1.0,acquisition
