animal_order,animal_id,sample_id,condition,condition_order,experimental_unit,field_count,endpoint,endpoint_label,radial_shell,shell_dapi_quantile_start,shell_dapi_quantile_end,shell_dapi_nuclei,shell_positive_nuclei,occurrence_rate,occurrence_percent,arcsin_sqrt_occurrence,shell_inner_whitened_radius,shell_outer_whitened_radius,inference_role
6,E9_FR8-1,e9-fr8-1,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,3,0.333333333333,0.5,386,0,0,0,0,1.09046098126,1.36254002601,one component of one animal-level six-shell vector
6,E9_FR8-1,e9-fr8-1,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,4,0.5,0.666666666667,386,0,0,0,0,1.36254002601,1.60501545932,one component of one animal-level six-shell vector
6,E9_FR8-1,e9-fr8-1,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,5,0.666666666667,0.833333333333,386,0,0,0,0,1.60501545932,1.81000760763,one component of one animal-level six-shell vector
6,E9_FR8-1,e9-fr8-1,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,6,0.833333333333,1,386,0,0,0,0,1.81000760763,2.54399346747,one component of one animal-level six-shell vector
7,E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,3,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,1,0,0.166666666667,330,35,0.106060606061,10.6060606061,0.331719717119,0.0799991921018,0.780736399639,one component of one animal-level six-shell vector
7,E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,3,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,2,0.166666666667,0.333333333333,329,29,0.0881458966565,8.81458966565,0.301438075289,0.780736399639,1.04434999357,one component of one animal-level six-shell vector
7,E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,3,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,3,0.333333333333,0.5,329,25,0.0759878419453,7.59878419453,0.279275116938,1.04434999357,1.30899525489,one component of one animal-level six-shell vector
7,E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,3,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,4,0.5,0.666666666667,329,11,0.0334346504559,3.34346504559,0.183886015305,1.30899525489,1.57994227692,one component of one animal-level six-shell vector
7,E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,3,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,5,0.666666666667,0.833333333333,329,6,0.0182370820669,1.82370820669,0.135458616948,1.57994227692,1.83897735744,one component of one animal-level six-shell vector
7,E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,3,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,6,0.833333333333,1,330,6,0.0181818181818,1.81818181818,0.135251958245,1.83897735744,2.72490945512,one component of one animal-level six-shell vector
7,E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,3,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,1,0,0.166666666667,330,31,0.0939393939394,9.39393939394,0.311508979912,0.0799991921018,0.780736399639,one component of one animal-level six-shell vector
7,E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,3,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,2,0.166666666667,0.333333333333,329,27,0.0820668693009,8.20668693009,0.290543675291,0.780736399639,1.04434999357,one component of one animal-level six-shell vector
7,E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,3,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,3,0.333333333333,0.5,329,10,0.0303951367781,3.03951367781,0.175237505793,1.04434999357,1.30899525489,one component of one animal-level six-shell vector
7,E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,3,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,4,0.5,0.666666666667,329,1,0.00303951367781,0.303951367781,0.0551597518809,1.30899525489,1.57994227692,one component of one animal-level six-shell vector
7,E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,3,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,5,0.666666666667,0.833333333333,329,0,0,0,0,1.57994227692,1.83897735744,one component of one animal-level six-shell vector
7,E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,3,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,6,0.833333333333,1,330,0,0,0,0,1.83897735744,2.72490945512,one component of one animal-level six-shell vector
8,E8_FR6-3,e8-fr6-3-alulosa,Allulose,3,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,1,0,0.166666666667,496,50,0.100806451613,10.0806451613,0.323092241863,0.145601872776,0.837440834536,one component of one animal-level six-shell vector
8,E8_FR6-3,e8-fr6-3-alulosa,Allulose,3,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,2,0.166666666667,0.333333333333,496,40,0.0806451612903,8.06451612903,0.287943420562,0.837440834536,1.09723685422,one component of one animal-level six-shell vector
8,E8_FR6-3,e8-fr6-3-alulosa,Allulose,3,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,3,0.333333333333,0.5,496,31,0.0625,6.25,0.252680255142,1.09723685422,1.33590107673,one component of one animal-level six-shell vector
8,E8_FR6-3,e8-fr6-3-alulosa,Allulose,3,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,4,0.5,0.666666666667,496,18,0.0362903225806,3.62903225806,0.191671642649,1.33590107673,1.56687217467,one component of one animal-level six-shell vector
8,E8_FR6-3,e8-fr6-3-alulosa,Allulose,3,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,5,0.666666666667,0.833333333333,496,15,0.0302419354839,3.02419354839,0.17479075625,1.56687217467,1.7610029089,one component of one animal-level six-shell vector
8,E8_FR6-3,e8-fr6-3-alulosa,Allulose,3,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,6,0.833333333333,1,496,11,0.0221774193548,2.21774193548,0.149476862982,1.7610029089,2.67215775054,one component of one animal-level six-shell vector
