field,pomc_label,region_code,region,area_px,centroid_y,centroid_x,dapi_reference_n,mean_dapi_area_px,minimum_pomc_area_px,excluded_small,decision
FR6-1_S03_right,13,1,ARC,185,417.1675675675676,511.8216216216216,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,14,1,ARC,93,419.2795698924731,267.36559139784947,644,109.82453416149069,109.82453416149069,True,exclude_below_local_dapi_mean
FR6-1_S03_right,15,1,ARC,120,421.2916666666667,557.9083333333333,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,16,1,ARC,267,435.9925093632959,241.7191011235955,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,17,1,ARC,217,442.2396313364055,254.93087557603687,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,18,1,ARC,124,479.0806451612903,284.6774193548387,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,19,1,ARC,138,483.7173913043478,298.8840579710145,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,20,2,ME,71,634.0140845070423,152.2112676056338,157,82.6624203821656,82.6624203821656,True,exclude_below_local_dapi_mean
FR6-1_S03_right,21,1,ARC,205,241.6780487804878,189.2390243902439,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,22,1,ARC,188,204.9255319148936,208.01063829787233,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,23,1,ARC,175,404.6457142857143,433.22857142857146,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,24,1,ARC,194,414.4484536082474,333.2216494845361,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,25,1,ARC,201,368.96019900497515,482.55721393034827,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,26,1,ARC,131,365.03053435114504,608.7938931297709,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,27,1,ARC,266,279.7105263157895,253.69924812030075,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,28,1,ARC,123,212.21138211382114,217.3658536585366,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,29,1,ARC,320,417.61875,391.7875,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S04_left,1,0,OUTSIDE_DELINEATED_REGIONS,188,187.5,511.78723404255317,600,115.795,115.795,False,retain
FR6-1_S04_left,2,0,OUTSIDE_DELINEATED_REGIONS,205,220.6829268292683,457.3219512195122,600,115.795,115.795,False,retain
FR6-1_S04_left,3,1,ARC,172,233.80232558139534,561.3488372093024,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,4,1,ARC,147,363.96598639455783,427.1156462585034,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,5,1,ARC,87,407.86206896551727,657.3678160919541,649,101.88751926040062,101.88751926040062,True,exclude_below_local_dapi_mean
FR6-1_S04_left,6,1,ARC,246,432.719512195122,654.0813008130082,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,7,1,ARC,203,433.54679802955667,527.3645320197045,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,8,1,ARC,167,443.94610778443115,631.5988023952095,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,9,1,ARC,201,446.1393034825871,528.8059701492538,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,10,1,ARC,215,457.21860465116276,545.0883720930233,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,11,1,ARC,164,459.5548780487805,645.9329268292682,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,12,1,ARC,122,477.4590163934426,403.61475409836066,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,13,2,ME,169,573.396449704142,890.1183431952662,171,91.94736842105263,91.94736842105263,False,retain
FR6-1_S04_left,14,0,OUTSIDE_DELINEATED_REGIONS,277,299.3826714801444,247.65342960288808,600,115.795,115.795,False,retain
FR6-1_S04_left,15,0,OUTSIDE_DELINEATED_REGIONS,170,210.73529411764707,414.7823529411765,600,115.795,115.795,False,retain
FR6-1_S04_left,16,1,ARC,221,297.94117647058823,432.7466063348416,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,17,1,ARC,327,304.19571865443424,390.4403669724771,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,18,1,ARC,209,281.79904306220095,425.32535885167465,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,19,1,ARC,227,336.3612334801762,398.80616740088107,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,20,1,ARC,218,305.8394495412844,628.1559633027523,649,101.88751926040062,101.88751926040062,False,retain
FR6-1_S04_left,21,1,ARC,199,322.72361809045225,626.7688442211055,649,101.88751926040062,101.88751926040062,False,retain
